Project,Model Link - Github
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/5th Week/Binh_PhoneManagement/SE18_PhamNgocBinh_PhoneManagement.Order_SequenceDiagram_v2.0_.png
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/5th Week/Binh_PhoneManagement/SE18_PhamNgocBinh_PhoneManagement_SequenceDiagram_v1.0.png
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/5th Week/Binh_PhoneManagement/SE18_PhamNgocBinh_PhoneManagement_SequenceDiagram_v2.0.png
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/5th Week/Dung/SE18_PhamAnhDung_Account.Login_SequenceDiagram_v1.0.jpg
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/5th Week/Dung/SE18_PhamAnhDung_Account.Logout_SequenceDiagram_v1.0.jpg
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/5th Week/Dung/SE18_PhamAnhDung_StaffManagement.Add_SequenceDiagram_v1.0.jpg
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/5th Week/Dung/SE18_PhamAnhDung_StaffManagement.Remove_SequenceDiagram_v1.0.jpg
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/5th Week/Dung/SE18_PhamAnhDung_StaffManagement.Search_SequenceDiagram_v1.0.jpg
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/5th Week/Dung/SE18_PhamAnhDung_StaffManagement.Timebook_SequenceDiagram_v1.0.jpg
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/5th Week/Dung/SE18_PhamAnhDung_StaffManagement.Update_SequenceDiagram_v1.0.jpg
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/5th Week/Dung/SE18_PhamAnhDung_StaffManagement_SequenceDiagram_v1.0.jpg
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,https://www.github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/tree/master/5th Week/SE18_ClassDiagram_v1.0.jpg
